film_id,titre,genre_principale,date_sortie_france,date_sortie_usa,image_url,synopsis,duree,note_moyenne,acteurs,entrees_demarrage_france,entrees_totales_france,budget,recette_usa,recette_reste_du_monde,recette_monde
22009,Infinite Storm,Science Fiction,04/09/2022,25/03/2022,https://www.jpbox-office.com/cinema/images/posters/22009-20220320070447-0.jpg,"Pam Bales, une mère, infirmière et guide de montagne fait du trekking, seule, sur le Mont Washington lorsqu'elle est prise dans un blizzard. Bientôt, elle est sauvé par un sauveteur mystérieux...",1h 44min,Non disponible,Naomi Watts (Rôle principal - - Pam Bales),,,? $,1 600 543 $,- $,1 600 543 $
22283,Le Visiteur du futur,Science Fiction,07/09/2022,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/22283-20220828010421-0.jpg,"2555. Dans un futur dévasté, l’apocalypse menace la Terre. Le dernier espoir repose sur un homme capable de voyager dans le temps. Sa mission : retourner dans le passé et changer le cours des événements. Mais la Brigade Temporelle, une police du temps, le traque à chaque époque. Débute alors une course contre la montre pour le Visiteur du Futur…",1h 42min,2,Non disponible,147 188,332 370,Non disponible,,,
18826,Avatar : la voie de l'eau,Science Fiction,14/12/2022,16/12/2022,https://www.jpbox-office.com/cinema/images/posters/18826-20230308061935.jpg,"Jake Sully et Neytiri sont devenus parents. L'intrigue se déroule une dizaine d'années après les événements racontés dans le long-métrage originel. Leur vie idyllique, proche de la nature, est menacée lorsque la Resources Development Administration, dangereuse organisation non-gouvernementale, est de retour sur Pandora. Contraints de quitter leur habitat naturel, Jake et sa famille se rendent sur les récifs, où ils pensent trouver asile. Mais ils tombent sur un clan, les Metkayina, aux mœurs différentes des leurs...",3h 12min,4,Sam Worthington (Rôle principal - - Jake Sully) | Sigourney Weaver (Second rôle - - Kiri) | Kate Winslet (Second rôle - - Ronal),2 739 848,14 000 537,350 000 000 $,684 075 767 $,1 619 000 000 $,2 303 075 767 $
22787,Corrective Measures : Mutants Surpuissants,Science Fiction,08/03/2023,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/A-2023-22787-20230401103723.jpg,"Basé sur un roman graphique, le film se déroule à San Tiburon, une prison qui abrite les criminels les plus dangereux du monde, dont certains ont des superpouvoirs. Les tensions entre les détenus et le personnel s'exacerbent, entraînant l’anarchie dans la prison..",1h 46min,Non disponible,Bruce Willis (Rôle principal - - Julius “The Lobe” Loeb),,,? $,- $,17 750 $,17 750 $
22554,65 - la Terre d'avant,Science Fiction,15/03/2023,10/03/2023,https://www.jpbox-office.com/cinema/images/posters/A-2023-22554-20230310090600.jpg,"Après un terrible crash sur une planète inconnue, le pilote Mills découvre rapidement qu’il a en réalité échoué sur Terre… il y a 65 millions d’années. Pour réussir leur unique chance de sauvetage, Mills et Koa l’unique autre survivante du crash, doivent se frayer un chemin à travers des terres inconnues peuplées de dangereuses créatures préhistoriques dans un combat épique pour leur survie.",1h 33min,4,Adam Driver (Rôle principal - - Mills) | Sam Raimi (Producteur) | Danny Elfman,187 043,298 999,45 000 000 $,32 062 904 $,28 667 664 $,60 730 568 $
22295,Transformers: Rise Of The Beasts,Science Fiction,07/06/2023,09/06/2023,https://www.jpbox-office.com/cinema/images/posters/A-2023-22295-20230601113329.jpg,"Renouant avec l'action et le grand spectacle qui ont fait des premiers Transformers un phénomène mondial il y a 14 ans, Transformers : Rise of The Beasts transportera le public dans une aventure aux quatre coins du monde au coeur des années 1990. On y découvrira pour la première fois les Maximals, Predacons et Terrorcons rejoignant l'éternel combat entre les Autobots et les Decepticons.",1h 57min,4,Ron Perlman (Voix-off - - Optimus Primal) | Steven Spielberg (Producteur délégué) | Lorenzo di Bonaventura (Producteur),451 052,1 137 427,195 000 000 $,157 066 392 $,281 900 000 $,438 966 392 $
23132,The Creator,Science Fiction,27/09/2023,29/09/2023,https://www.jpbox-office.com/cinema/images/posters/A-2023-23132-20230902120741.jpg,"Dans un futur proche, humains et intelligence artificielle (IA) se livrent une guerre sans merci.
Soldat américain infiltré en Asie, Joshua est séparé de sa femme Maya au cours d’un assaut. Supposant que celle-ci est décédée, il rentre aux États-Unis, complètement dévasté. Cinq ans plus tard, l’armée lui demande de revenir sur le terrain, craignant qu’une puissante intelligence artificielle n’ait créé une arme qui permette à l’Orient de gagner la guerre qu’elle livre à l’Occident. Sentant son utilisation proche, elle souhaite qu’il la trouve et la détruise.
Lorsque la colonelle Jean Howell apprend à Joshua que Maya est peut-être en vie et qu’elle se trouverait dans la zone de combat, celui-ci trouve soudainement un nouvel enjeu dans cette mission qu’il avait tout d’abord accepté à contrecoeur. Cependant, peu après son arrivée en Asie, il découvre que l’arme en question n’est autre qu’une petite fille de 6 ans prénommée Alphie. Dès lors, Joshua commence à remettre en question ses convictions sur l’IA : Où est la vérité ? Que lui a-t-on caché ?",2h 13min,3,Non disponible,262 507,755 008,80 000 000 $,40 774 679 $,58 500 000 $,99 274 679 $
22844,Le Règne animal,Science Fiction,04/10/2023,15/03/2024,https://www.jpbox-office.com/cinema/images/posters/A-2023-22844-20230902120948.jpg,"Deux ans après l'apparition des premières mutations de l'homme vers l'animal, la société s'adapte, prend en charge et tente de soigner ses ""créatures"" dans des centres spécialisés. Mais un convoi a un accident, et les créatures se dispersent dans la nature...",2h 10min,4,Romain Duris (Rôle principal - - François) | Adèle Exarchopoulos (Rôle principal - - Julia),224 476,1 160 322,15 980 000 ,11 767 $,8 927 020 $,8 938 787 $
23194,Rebel Moon: Partie 1 - Enfant du feu,Science Fiction,22/12/2023,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/A-2023-23194-20231220070439.jpg,"Dans une colonie pacifique aux confins de la galaxie. Bientôt, elle se trouve menacée par les armées du tyrannique régent Balisarius. Ils envoient une jeune femme au passé mystérieux chercher des guerriers sur les planètes voisines pour les aider à s'y installer.",2h 13min,Non disponible,Non disponible,,,Non disponible,,,
23301,Godzilla Minus One,Science Fiction,17/01/2024,01/12/2023,https://www.jpbox-office.com/cinema/images/posters/A-2023-23301-20231109085504.jpg,"Le Japon se remet à grand peine de la Seconde Guerre mondiale qu’un péril gigantesque émerge au large de Tokyo. Koichi, un kamikaze déserteur traumatisé par sa première confrontation avec Godzilla, voit là l’occasion de racheter sa conduite pendant la guerre.",2h 05min,4,Non disponible,94 787,175 579,15 000 000 $,57 144 669 $,31 187 000 $,88 331 669 $
23596,L'Empire,Science Fiction,21/02/2024,07/03/2025,https://www.jpbox-office.com/cinema/images/posters/A-2024-23596-20240221061936.jpg,"Entre Ma Loute et La Vie de Jésus, entre le ciel et la terre, Bruno Dumont nous offre une vision caustique, cruelle et déjantée de La Guerre des étoiles.",1h 50min,2,Camille Cottin (Rôle principal) | Fabrice Luchini (Second rôle - - Belzébuth),48 695,96 306,? ,16 938 $,9 463 $,26 401 $
21836,Dune : Deuxième Partie,Science Fiction,28/02/2024,01/03/2024,https://www.jpbox-office.com/cinema/images/posters/A-2024-21836-20240223110646.jpg,"Dans DUNE : DEUXIÈME PARTIE, Paul Atreides s’unit à Chani et aux Fremen pour mener la révolte contre ceux qui ont anéanti sa famille. Hanté par de sombres prémonitions, il se trouve confronté au plus grand des dilemmes : choisir entre l’amour de sa vie et le destin de l’univers.",2h 46min,4,Timothée Chalamet (Rôle principal - - Paul Atreides) | Javier Bardem (Second rôle - - Stilgar) | Josh Brolin (Second rôle - - Gurney Halleck) | Charlotte Rampling (Second rôle - - Révérend Mère Mohiam) | Léa Seydoux (Second rôle - - Lady Margot Fenring) | Christopher Walken (Second rôle - - L'Empereur) | Hans Zimmer,1 383 999,4 203 460,190 000 000 $,282 144 358 $,426 900 000 $,709 044 358 $
23523,Spaceman,Science Fiction,01/03/2024,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/A-2024-23523-20240106063416.jpg,Un astronaute est envoyé aux confins de la galaxie pour ramasser une mystérieuse poussière spatiale. Il ne va pas tarder à rencontrer une créature ancienne qui s'est tapie dans son vaisseau.,1h 47min,Non disponible,Adam Sandler (Rôle principal - - Jakub Prochazka),,,Non disponible,,,
23520,Rebel Moon: Partie 2 - L'Entailleuse,Science Fiction,19/04/2024,00/00/0000,https://www.jpbox-office.com/cinema/images/posters/A-2024-23520-20240410114134.jpg,"Kora et son groupe de guerriers sont prêts à tout sacrifier pour se battre aux côtés du peuple de Veldt. Ils sont déterminés à défendre courageusement un village autrefois paisible, nouvelle patrie de ceux qui ont perdu les leurs dans la lutte contre le Monde-Mère. À la veille de la bataille, les guerriers se confrontent à la vérité de leur propre passé, chacun révélant les raisons de son ralliement à la cause. Alors que la force d'un royaume entier s'abat sur une rébellion émergente, des liens indestructibles se forgent, des héros sont révélés et des légendes naissent.",2h 02min,Non disponible,Non disponible,,,Non disponible,,,
23335,La Planète des Singes : Le Nouveau Royaume,Science Fiction,08/05/2024,10/05/2024,https://www.jpbox-office.com/cinema/images/posters/A-2024-23335-20231125050718.jpg,"Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains...",2h 05min,4,William H. Macy (Second rôle - - Trevathan),932 730,2 487 931,165 000 000 $,171 130 165 $,220 800 000 $,391 930 165 $
